operInstNm,pstTtlNm,pstRegYmd,pstCn
여성가족부,아이돌봄서비스 정부지원 확대 및 영아돌봄 서비스 활성화 추진,20240906,여성가족부는 추석 명절을 맞아 전국 가족센터에서 다양한 가족프로그램을 진행한다고 9일월 밝혔다.
여성가족부,"2023년 성별 임금 격차, 공시대상회사 26.3, 공공기관 22.7",20240905,여성가족부는양성평등기본법에 근거하여 공시대상회사 및 공공기관 근로자의 성별 임금 격차 등 조사 결과를 6일금 발표했다.
여성가족부,2024 통계로 보는 남녀의 삶,20240905,여성가족부는 제29회 양성평등주간9.19.7을 기념하여 남녀의 모습을 부문별로 분석한 2024 통계로 보는 남녀의 삶을 5일목 발표했다.
여성가족부,아동청소년대상 딥페이크 성착취 처벌 및 피해자 보호지원 강화,20240926,"여성가족부는 26일목 개최된 국회 본회의에서 성적 허위영상물딥페이크 성범죄 처벌 및 피해자 보호지원을 강화하는 내용의아동청소년의 성보호에 관한 법률이하 청소년성보호법,성폭력방지 및 피해자 보호등에 관한 법률이하 성폭력방지법개정안이 의결됐다고 밝혔다."
여성가족부,양육비 이행명령 받고도 3회 이상 미이행 시 운전면허 정지 등 제재,20240910,여성가족부는 10일화 양육비 채무 불이행자 제재조치 대상자의 선정 기준 등을 규정한 양육비 이행확보 및 지원에 관한 법률 시행령이하 시행령 일부개정안이 국무회의에서 의결되었다고 밝혔다.
여성가족부,기업의 일생활 균형과 양성평등을 위한 배움의 장,20240910,여성가족부는 11일수 서울 은행회관에서 100여 개 기업의 인사조직관리 담당자를 대상으로 기업 내 다양성 및 일생활 균형 제고를 위한 제2차 역량강화 교육을 실시한다.
여성가족부,한부모가족 생활안정과 자녀양육 지원 확대한다.,20240909,"여성가족부는 2025년 저소득 한부모가족 아동양육비 지원 금액 인상, 한부모가족 주거 제공 확대, 양육비 선지급제 도입 예산 신규 반영 등 한부모가족의 생활안정과 자녀양육 지원을 위한 정책을 두텁게 추진한다."
여성가족부,과학연구 분야 청년 일자리 지원 방안 논의,20240909,"최은주 여성가족부 여성정책국장은 10일화 대전광역시세종특별자치시 양성평등센터대전 중구 소재, 이하 대전세종 센터를 방문해 사업 추진현황을 살피고 현장 의견을 청취한다."
여성가족부,"꿈드림센터, 학업 중단 고등학생에게 먼저 손길을 내민다",20240926,여성가족부는 9월 27일금부터 고등학교 과정을 중단한 청소년에게도 맞춤형 지원을 제공하기 위해서 관련 정보를 꿈드림센터학교밖청소년지원센터로 자동 연계한다고 밝혔다.
여성가족부,"일가정 양립, 기업이 앞장서고 정부가 함께 한다",20240925,"저출산고령사회위원회는 9월 25일수 오후 윤석열 대통령 주재로 정부 관계자, 국회경제계금융계 등 주요인사, 일가정 양립 우수기업 관계자 등 약 150여명이 참석한 가운데 제4차 인구비상대책회의 겸 일가정 양립 우수기업 성과공유회를 개최하였다."
여성가족부,디지털성범죄 피해자 지원 추경예산 편성,20250502,"디지털성범죄 피해자 지원 추경예산 편성 딥페이크 등 성범죄영상물 삭제지원 시스템 고도화 예산 10.9억 원 반영 여성가족부는 2025년도 1차 추경으로, 디지털성범죄 피해영상물 삭제지원시스템 고도화에 필요한 예산 10억 9천만 원이 편성되었다고 밝혔다. 시스템 고도화의 주요 내용은 인공지능AI기반 딥페이크 탐지 및 추적시스템 구축과 삭제요청 기능을 자동화하는 등 신속하고 효율적인 삭제 지원을 위해 관련 시스템 기능을 강화하는 것이다. 이 예산은 국회에서 정부 추가경정예산안 심의 과정에서 딥페이크 등 디지털 성범죄 대응 및 피해자 지원 강화를 위해 증액 편성되었다. 여성가족부 25년 본예산 1조 7,777억 원 25년 추경 1조 7,788억 원증 10.9억 원 증액 내역 중앙디지털성범죄피해자지원센터 사업 관련 예산기존 32.7억 원 10.9억 원 여성가족부는 확정된 추경 예산을 신속하고 차질 없이 집행할 수 있도록 철저히 준비하고, 디지털성범죄 피해자가 보다 신속하고 효과적으로 지원받을 수 있도록 시스템 구축에 만전을 기할 계획이다."
여성가족부,"여성가족부 차관, 일본군위안부 피해자 사망에 애도",20240907,신영숙 여성가족부차관은 9월 7일토 별세하신 일본군위안부 피해자의 사망에 깊은 애도의 뜻을 전했다.
여성가족부,"온가족 추석 나들이, 가족센터로 오세요!",20240906,여성가족부는 추석 명절을 맞아 전국 가족센터에서 다양한 가족프로그램을 진행한다고 9일월 밝혔다.
여성가족부,"받지 못한 양육비, 국가가 먼저 지급 한다",20240926,한부모가족 양육비 선지급제가 도입된다. 한부모가족 자녀가 보다 안정적인 환경에서 자랄 수 있을 것으로 기대된다.
여성가족부,2024 대한민국 양성평등 토론회포럼 개최,20240926,여성가족부는 30일월 미래산업과 양성평등을 주제로2024 대한민국 양성평등 토론회포럼2024 Korea Gender Equality Forum KGEF이하 토론회포럼를 대한상공회의소서울 중구 소재에서 개최한다.
여성가족부,"여성가족부, 여성경제참여확대와 안전한 사회를 위한 글로벌 협력 방안 논의",20250501,"여성가족부, 여성경제참여확대와 안전한 사회를 위한 글로벌 협력 방안 논의 5.3.토5.5.월 제주에서 아시아태평양경제협력체APEC 제1차 여성경제정책동반관계파트너십PPWE1 회의 개최 디지털인공지능 분야 고부가가치 훈련, 아이돌보미 등 한국 지원 정책 소개 여성가족부는 5월 3일토부터 5일월까지 제주국제컨벤션센터ICC에서 2025년 아시아태평양경제협력체이하 APEC 여성경제정책파트너십이하 PPWE 제1차 회의를 개최한다. PPWEPolicy Partnership on Women and the Economy, 2011 아시아태평양경제협력체 경제기술협력운영위원회 산하 정책파트너십 중 하나로, 회원 경제 여성의 평등한 참여 촉진 및 고위관리에게 정책실무적 조언을 제공하고 협력 방향 논의 아시아태평양경제협력체 여성경제정책파트너십은 아태 지역 내 여성성평등 정책 의제와 역내 협력방안을 모색하는 실무 회의로, 에이펙APEC 21개 회원경제 및 관련 정책 전문가 등 120여명이 참석하여 다양한 의견을 교환할 예정이다. 2025년 에이펙APEC 여성경제 분야에서는 지속가능한 성장을 위한 여성의 경제 참여 확대를 주제로 연결, 혁신, 번영의 세 가지 방향에서 연결 젠더폭력으로부터 안전한 사회를 위한 글로벌 대응 강화, 혁신 디지털인공지능AI 분야의 여성 역량 강화와 경제 참여 확대 촉진, 번영 인구 변동에 따른 돌봄체계 강화를 통한 지속가능한 미래를 우선 과제로 설정하였다. 피피더블유이PPWE 공동의장인 여성가족부 김기남 기획조정실장의 주재로 진행되는 이번 회의는 위 주제 및 우선 과제를 중심으로 논의가 이루어지며 주요 일정과 세부 토론 주제는 다음과 같다. 의장 칠레, 공동의장 한국 1일차5.3.토에는 2025년 에이펙APEC 여성경제 분야의 주제 및 우선 과제발표 후 피피더블유이PPWE 프로젝트 추진 경과를 보고한다. 본격적인 토의에 앞서 사라 두에르토 발레로Sara Duerto Valero 유엔여성기구 아태지역사무소 통계 고문이 아시아태평양 지역 여성여아 현황을 주제로 "
